Folio,Fecha Entrada,Hora Entrada,Fecha Salida,Hora Salida,Minutos en Planta,Número Económico,Placas,Operador,Clave Operador,Empresa,Ruta,Clave Ruta,Concepto,Clave Concepto,Peso Entrada (kg),Peso Salida (kg),Peso Neto (kg),Peso Entrada (ton),Peso Salida (ton),Peso Neto (ton),
OOSL-0000286,1/1/2026,18:31:37,1/1/2026,18:49:37,18,2017.0,SP85738,Operador OOSLMP,301,OOSLMP,Recolección diferenciada,130,OOSLMP,17,27860,13700,14160,27.86,13.7,14.16,-0.46
OOSL-0000300,3/1/2026,11:17:23,3/1/2026,11:31:23,14,2015.0,SP81281,Operador OOSLMP,301,OOSLMP,Recolección diferenciada,130,OOSLMP,17,13260,6570,6690,13.26,6.57,6.69,-0.12
OOSL-0000301,3/1/2026,12:11:56,3/1/2026,12:31:56,20,2012.0,SN43220,Operador OOSLMP,301,OOSLMP,Recolección diferenciada,130,OOSLMP,17,13120,6280,6840,13.12,6.28,6.84,-0.56
OOSL-0000303,3/1/2026,13:02:38,3/1/2026,13:22:38,20,2010.0,SM02293,Operador OOSLMP,301,OOSLMP,Recolección diferenciada,130,OOSLMP,17,21520,10630,10890,21.52,10.63,10.89,-0.26
OOSL-0000304,3/1/2026,14:17:26,3/1/2026,14:31:26,14,2018.0,SP85739,Operador OOSLMP,301,OOSLMP,Recolección diferenciada,130,OOSLMP,17,30480,15220,15260,30.48,15.22,15.26,-0.04
OOSL-0000306,3/1/2026,19:18:56,3/1/2026,19:38:56,20,2017.0,SP85738,Operador OOSLMP,301,OOSLMP,Recolección diferenciada,130,OOSLMP,17,28050,13490,14560,28.05,13.49,14.56,-1.07
OOSL-0000310,5/1/2026,7:45:20,5/1/2026,7:56:20,11,2012.0,SN31022,Operador OOSLMP,301,OOSLMP,Recolección diferenciada,130,OOSLMP,17,13340,6350,6990,13.34,6.35,6.99,-0.64
OOSL-0000311,5/1/2026,8:23:28,5/1/2026,8:44:28,21,2012.0,SN31025,Operador OOSLMP,301,OOSLMP,Recolección diferenciada,130,OOSLMP,17,13720,6740,6980,13.72,6.74,6.98,-0.24
OOSL-0000312,5/1/2026,8:59:51,5/1/2026,9:12:51,13,2010.0,SM02293,Operador OOSLMP,301,OOSLMP,Recolección diferenciada,130,OOSLMP,17,21630,10750,10880,21.63,10.75,10.88,-0.13
OOSL-0000317,5/1/2026,12:54:41,5/1/2026,13:07:41,13,2018.0,SP85739,Operador OOSLMP,301,OOSLMP,Recolección diferenciada,130,OOSLMP,17,30290,15080,15210,30.29,15.08,15.21,-0.13
