Folio,Fecha Entrada,Hora Entrada,Fecha Salida,Hora Salida,Número Económico,Placas,Peso Entrada (kg),Peso Salida (kg),Peso Neto (kg),Peso Entrada (ton),Peso Salida (ton),Peso Neto (ton),EL PESO DE NETO ES MAYOR QUE EL VEHÍCULO
OOSL-0000574,2/2/2026,10:25:22,2/2/2026,10:37:22,2013,SN43215,21310,10480,10830,21.31,10.48,10.83,-350
OOSL-0000575,2/2/2026,11:38:02,2/2/2026,11:52:02,2012-2,SN31025,13040,6020,7020,13.04,6.02,7.02,-1000
OOSL-0000576,2/2/2026,14:01:51,2/2/2026,14:14:51,2018,SP85739,28900,13650,15250,28.9,13.65,15.25,-1600
OOSL-0000585,3/2/2026,10:25:41,3/2/2026,10:37:41,2018,SP85739,29180,13890,15290,29.18,13.89,15.29,-1400
OOSL-0000586,3/2/2026,11:44:56,3/2/2026,11:58:56,2012-2,SN31025,13650,6640,7010,13.65,6.64,7.01,-370
OOSL-0000587,3/2/2026,13:13:57,3/2/2026,13:27:57,2010,SM02293,21460,10600,10860,21.46,10.6,10.86,-260
OOSL-0000588,3/2/2026,18:30:53,3/2/2026,18:41:53,2018,SP85739,28970,13730,15240,28.97,13.73,15.24,-1510
OOSL-0000589,3/2/2026,19:29:53,3/2/2026,19:42:53,2017,SP85738,29370,14330,15040,29.37,14.33,15.04,-710
OOSL-0000617,6/2/2026,13:18:29,6/2/2026,13:29:29,2015,SP81281,12740,6300,6440,12.74,6.3,6.44,-140
OOSL-0000623,7/2/2026,9:54:29,7/2/2026,10:02:29,2018,SP85739,29530,14340,15190,29.53,14.34,15.19,-850
OOSL-0000624,7/2/2026,10:32:56,7/2/2026,10:43:56,2017,SP85738,28830,13570,15260,28.83,13.57,15.26,-1690
OOSL-0000625,7/2/2026,11:12:33,7/2/2026,11:19:33,2012-3,SN43220,13820,6850,6970,13.82,6.85,6.97,-120
OOSL-0000629,7/2/2026,18:17:04,7/2/2026,18:30:04,2018,SP85739,28510,13390,15120,28.51,13.39,15.12,-1730
OOSL-0000632,8/2/2026,16:11:08,8/2/2026,16:24:08,2017,SP85738,28500,13960,14540,28.5,13.96,14.54,-580
OOSL-0000633,9/2/2026,8:04:35,9/2/2026,8:13:35,2012,SN31022,13520,6730,6790,13.52,6.73,6.79,-60
OOSL-0000635,9/2/2026,11:02:01,9/2/2026,11:14:01,2017,SP85738,29360,14180,15180,29.36,14.18,15.18,-1000
OOSL-0000639,9/2/2026,13:55:09,9/2/2026,14:06:09,2018,SP85739,29120,14370,14750,29.12,14.37,14.75,-380
OOSL-0000649,10/2/2026,13:39:23,10/2/2026,13:50:23,2018,SP85739,29850,14550,15300,29.85,14.55,15.3,-750
OOSL-0000650,10/2/2026,14:40:14,10/2/2026,14:50:14,2012,SN31022,13500,6460,7040,13.5,6.46,7.04,-580
OOSL-0000651,10/2/2026,18:06:12,10/2/2026,18:18:12,2017,SP85738,30050,14800,15250,30.05,14.8,15.25,-450
OOSL-0000677,13/2/2026,13:45:22,13/2/2026,13:58:22,2018,SP85739,28410,13430,14980,28.41,13.43,14.98,-1550
OOSL-0000680,13/2/2026,19:40:51,13/2/2026,19:48:51,2017,SP85738,29210,14050,15160,29.21,14.05,15.16,-1110
OOSL-0000681,13/2/2026,23:19:13,13/2/2026,23:31:13,2013,SN43215,21110,10420,10690,21.11,10.42,10.69,-270
OOSL-0000685,14/2/2026,9:27:20,14/2/2026,9:38:20,2012-3,SN43220,13830,6810,7020,13.83,6.81,7.02,-210
OOSL-0000686,14/2/2026,9:57:06,14/2/2026,10:07:06,2012,SN31022,13160,6260,6900,13.16,6.26,6.9,-640
OOSL-0000688,14/2/2026,12:03:20,14/2/2026,12:13:20,2018,SP85739,30290,15090,15200,30.29,15.09,15.2,-110
OOSL-0000691,14/2/2026,18:03:00,14/2/2026,18:13:00,2018,SP85739,29340,14100,15240,29.34,14.1,15.24,-1140
OOSL-0000692,14/2/2026,19:38:13,14/2/2026,19:48:13,2017,SP85738,30290,15130,15160,30.29,15.13,15.16,-30
OOSL-0000693,15/2/2026,0:54:20,15/2/2026,1:05:20,2013,SN43215,22230,11470,10760,22.23,11.47,10.76,710
OOSL-0000694,15/2/2026,19:21:27,15/2/2026,19:29:27,2017,SP85738,28480,13540,14940,28.48,13.54,14.94,-1400
OOSL-0000695,16/2/2026,7:32:41,16/2/2026,7:42:41,2015,SP81281,12400,6140,6260,12.4,6.14,6.26,-120
OOSL-0000697,16/2/2026,9:34:10,16/2/2026,9:48:10,2018,SP85739,28190,14030,14160,28.19,14.03,14.16,-130
OOSL-0000724,19/2/2026,7:45:12,19/2/2026,7:53:12,2018,SP85739,27960,13920,14040,27.96,13.92,14.04,-120
OOSL-0000733,19/2/2026,19:45:02,19/2/2026,19:57:02,2017,SP85738,29120,14450,14670,29.12,14.45,14.67,-220
